record_id,ecosystem,source,original_title,normalized_title,pass1_reference,pass1_match_class,otter_id,otter_date,packet_dir,external_representation_type,external_url,local_representation_already_present,novelty_score,identity_confidence,evidence_gain_score,processing_effort,duplication_risk,downstream_utility,preservation_value,acquisition_cost_class,information_gain_effort,acquisition_decision,acquisition_rationale,what_this_could_add,what_we_already_have,blocking_condition,notes
aosrd-webinars-000-R0k2AM7bvcw,AOSRD_Clearfield,aosrd_webinars_youtube,We Can’t Keep Eating Like This with Dr. Paul Clayton​  – Video,we can t keep eating like this with dr paul clayton video,aosrd-webinars-000-R0k2AM7bvcw,possible,Se28ZvfBuNMYHNmwQG9ua7gbTWk,2026-03-10,Research/lectures/clearfield-webinar-2026-03-10,YouTube_video,https://youtu.be/R0k2AM7bvcw,yes,1,low,1,very_high,high,low,low,high,poor,DEFER_IDENTITY_UNRESOLVED,Pass 1 match is only possible. Video acquisition/processing is expensive and captions are unverified. Resolve identity first before considering video.,Unclear until identity is resolved; may largely duplicate Otter text.,Se28ZvfBuNMYHNmwQG9ua7gbTWk:otter_transcript+otter_summary+mednote_stack+slides_claimed_elsewhere,resolve_identity_before_video_acquisition,pass3_availability=available_external; captions=not_checked; has_pdf_also=False
aosrd-webinars-001-1FvBmDULAM0,AOSRD_Clearfield,aosrd_webinars_youtube,Peter Zebot-The Second Law of Human Nature  – Video,peter zebot the second law of human nature video,aosrd-webinars-001-1FvBmDULAM0,no_match,,,,YouTube_video,https://youtu.be/1FvBmDULAM0,no,3,unresolved,2,very_high,low,medium,medium,very_high,poor,DEFER_EXPENSIVE_VIDEO,"Potentially new session relative to Otter corpus (Pass 1 no_match — not confirmed new), but representation is video-only with captions/transcript status not_checked. Acquisition would likely require download + transcription (very high effort) without a verified text route. Defer until caption availability can be verified without downloading, or until a cheaper text representation is found.",Possibly a session absent from Otter — but only after expensive AV processing with unverified captions.,catalog_and_external_URL,verify_captions_or_prefer_PDF_before_any_video_acquire; not_a_confirmed_new_lecture,pass3_availability=available_external; captions=not_checked; has_pdf_also=False; pot=potentially_new_session
aosrd-webinars-002-db3pbTDvVzk,AOSRD_Clearfield,aosrd_webinars_youtube,"The Collagen Network-Rebuild, Stregthen and Maintain Immune Regulation, Creatine and Mitochondrial Magnesium with Jill Beckman  – Video",the collagen network rebuild stregthen and maintain immune regulation creatine and mitochondrial magnesium with jill beckman video,aosrd-webinars-002-db3pbTDvVzk,possible,lnZUNAyEcVNSN0i3JOEbuJcc15A,2025-02-19,Research/lectures/clearfield-webinar-2025-02-19,YouTube_video,https://youtu.be/db3pbTDvVzk,yes,1,low,1,very_high,high,low,low,high,poor,DEFER_IDENTITY_UNRESOLVED,Pass 1 match is only possible. Video acquisition/processing is expensive and captions are unverified. Resolve identity first before considering video.,Unclear until identity is resolved; may largely duplicate Otter text.,lnZUNAyEcVNSN0i3JOEbuJcc15A:otter_transcript+otter_summary+mednote_stack+slides_claimed_elsewhere,resolve_identity_before_video_acquisition,pass3_availability=available_external; captions=not_checked; has_pdf_also=False
aosrd-webinars-003-no_8kTiBj6g,AOSRD_Clearfield,aosrd_webinars_youtube,Build Your Own Personalized Nutritional  Formula from the Ground Up With Michael Lomis – Video,build your own personalized nutritional formula from the ground up with michael lomis video,aosrd-webinars-003-no_8kTiBj6g,no_match,,,,YouTube_video,https://youtu.be/no_8kTiBj6g,no,3,unresolved,2,very_high,low,medium,medium,very_high,poor,DEFER_EXPENSIVE_VIDEO,"Potentially new session relative to Otter corpus (Pass 1 no_match — not confirmed new), but representation is video-only with captions/transcript status not_checked. Acquisition would likely require download + transcription (very high effort) without a verified text route. Defer until caption availability can be verified without downloading, or until a cheaper text representation is found.",Possibly a session absent from Otter — but only after expensive AV processing with unverified captions.,catalog_and_external_URL,verify_captions_or_prefer_PDF_before_any_video_acquire; not_a_confirmed_new_lecture,pass3_availability=available_external; captions=not_checked; has_pdf_also=False; pot=potentially_new_session
aosrd-webinars-004-tIwwIf1egq0,AOSRD_Clearfield,aosrd_webinars_youtube,Why Vitamin C Therapy Works – Video,why vitamin c therapy works video,aosrd-webinars-004-tIwwIf1egq0,no_match,,,,YouTube_video,https://youtu.be/tIwwIf1egq0,no,3,unresolved,2,very_high,low,medium,medium,very_high,poor,DEFER_EXPENSIVE_VIDEO,"Potentially new session relative to Otter corpus (Pass 1 no_match — not confirmed new), but representation is video-only with captions/transcript status not_checked. Acquisition would likely require download + transcription (very high effort) without a verified text route. Defer until caption availability can be verified without downloading, or until a cheaper text representation is found.",Possibly a session absent from Otter — but only after expensive AV processing with unverified captions.,catalog_and_external_URL,verify_captions_or_prefer_PDF_before_any_video_acquire; not_a_confirmed_new_lecture,pass3_availability=available_external; captions=not_checked; has_pdf_also=False; pot=potentially_new_session
aosrd-webinars-005--2J8nSF-a-g,AOSRD_Clearfield,aosrd_webinars_youtube,"When Syndromes Overlap-A Complex Case History of Hyperadrogenism, Multiple Autoimmune Maladies, and Evolving Metabolic Signals – Video",when syndromes overlap a complex case history of hyperadrogenism multiple autoimmune maladies and evolving metabolic signals video,aosrd-webinars-005--2J8nSF-a-g,no_match,,,,YouTube_video,https://youtu.be/-2J8nSF-a-g,no,3,unresolved,2,very_high,low,medium,medium,very_high,poor,DEFER_EXPENSIVE_VIDEO,"Potentially new session relative to Otter corpus (Pass 1 no_match — not confirmed new), but representation is video-only with captions/transcript status not_checked. Acquisition would likely require download + transcription (very high effort) without a verified text route. Defer until caption availability can be verified without downloading, or until a cheaper text representation is found.",Possibly a session absent from Otter — but only after expensive AV processing with unverified captions.,catalog_and_external_URL,verify_captions_or_prefer_PDF_before_any_video_acquire; not_a_confirmed_new_lecture,pass3_availability=available_external; captions=not_checked; has_pdf_also=False; pot=potentially_new_session
aosrd-webinars-006-GavfM5gafHU,AOSRD_Clearfield,aosrd_webinars_youtube,The Psychology of Success with Dr. Jim Naccarato – Video,the psychology of success with dr jim naccarato video,aosrd-webinars-006-GavfM5gafHU,no_match,,,,YouTube_video,https://youtu.be/GavfM5gafHU,no,3,unresolved,2,very_high,low,medium,medium,very_high,poor,DEFER_EXPENSIVE_VIDEO,"Potentially new session relative to Otter corpus (Pass 1 no_match — not confirmed new), but representation is video-only with captions/transcript status not_checked. Acquisition would likely require download + transcription (very high effort) without a verified text route. Defer until caption availability can be verified without downloading, or until a cheaper text representation is found.",Possibly a session absent from Otter — but only after expensive AV processing with unverified captions.,catalog_and_external_URL,verify_captions_or_prefer_PDF_before_any_video_acquire; not_a_confirmed_new_lecture,pass3_availability=available_external; captions=not_checked; has_pdf_also=False; pot=potentially_new_session
aosrd-webinars-007-TcgYciqCmbM,AOSRD_Clearfield,aosrd_webinars_youtube,From Chronic Illness to High Fit Patients with Jake Guidas – Video,from chronic illness to high fit patients with jake guidas video,aosrd-webinars-007-TcgYciqCmbM,no_match,,,,YouTube_video,https://youtu.be/TcgYciqCmbM,no,3,unresolved,2,very_high,low,medium,medium,very_high,poor,DEFER_EXPENSIVE_VIDEO,"Potentially new session relative to Otter corpus (Pass 1 no_match — not confirmed new), but representation is video-only with captions/transcript status not_checked. Acquisition would likely require download + transcription (very high effort) without a verified text route. Defer until caption availability can be verified without downloading, or until a cheaper text representation is found.",Possibly a session absent from Otter — but only after expensive AV processing with unverified captions.,catalog_and_external_URL,verify_captions_or_prefer_PDF_before_any_video_acquire; not_a_confirmed_new_lecture,pass3_availability=available_external; captions=not_checked; has_pdf_also=False; pot=potentially_new_session
aosrd-webinars-008-w5yTm2FVNFg,AOSRD_Clearfield,aosrd_webinars_youtube,Ancient Healing Traditions for Modern Times – Video,ancient healing traditions for modern times video,aosrd-webinars-008-w5yTm2FVNFg,no_match,,,,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2026/06/Ancient-Wisdom-Modern-Healing1.pdf,no,4,unresolved,3,low,low,medium,medium,low,exceptional,ACQUIRE_CANDIDATE,AOSRD PDF is externally available and Pass 1 found no reasonable Otter candidate (potentially_new_session — not a confirmed new lecture). Low-cost text/visual source that could add a session representation absent from the current 98-session Otter corpus.,PDF lecture notes/slides/figures/references for a source without an Otter packet match.,catalog_record_and_URL_only,,pdf_role=potentially_new_source; pass3_pdf_availability=available_external; pass1_rel=potentially_new_session
aosrd-webinars-008-w5yTm2FVNFg,AOSRD_Clearfield,aosrd_webinars_youtube,Ancient Healing Traditions for Modern Times – Video,ancient healing traditions for modern times video,aosrd-webinars-008-w5yTm2FVNFg,no_match,,,,YouTube_video,https://youtu.be/w5yTm2FVNFg,no,2,unresolved,2,very_high,low,medium,low,very_high,weak,DEFER_EXPENSIVE_VIDEO,Pass 1 has no Otter candidate (potentially_new_session — not confirmed new). A companion AOSRD PDF is externally available and is the preferable low-cost text/visual acquisition path. Video captions are unverified; defer expensive video unless a later authorized pass shows a specific AV-only gap after PDF review.,Possibly a session absent from Otter — but only after expensive AV processing with unverified captions.,catalog_and_external_URL;+external_PDF_candidate,verify_captions_or_prefer_PDF_before_any_video_acquire; not_a_confirmed_new_lecture,pass3_availability=available_external; captions=not_checked; has_pdf_also=True; pot=potentially_new_session
