erc_id,catalog_record_id,pass4_row_id,pass4_row_ids,primary_representation_ref,primary_representation_type,primary_representation_url,alternate_representation_refs,uncertainty_class,evidence_question,evidence_purpose,pass1_match_class_frozen,candidate_session_refs,candidate_multiplicity,temporal_relation,local_representation_state,external_availability_state,access_state,authorization_state,next_evidence_action,action_cost_class,why_this_action,decision,decision_reason,authorized_to_establish,residual_uncertainty,human_authorization_record,notes
erc-4.5-pdf-001-aosrd-webinars-008-w5yTm2FVNFg,aosrd-webinars-008-w5yTm2FVNFg,aosrd-webinars-008-w5yTm2FVNFg::AOSRD_PDF,aosrd-webinars-008-w5yTm2FVNFg::AOSRD_PDF,AOSRD_PDF|https://aosrd.org/wp-content/uploads/2026/06/Ancient-Wisdom-Modern-Healing1.pdf,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2026/06/Ancient-Wisdom-Modern-Healing1.pdf,YouTube_video|https://youtu.be/w5yTm2FVNFg|pass4_decision=DEFER_EXPENSIVE_VIDEO,identity_uncertainty,"What session (if any) does AOSRD PDF for “Ancient Healing Traditions for Modern Times – Video” represent, given Pass 1 no_match to the Otter corpus — without treating no_match as proof of a new lecture?",unlinked_source_investigation,no_match,,0,unknown,absent,available_external,accessible,pending,DOWNLOAD_PDF,low,"AOSRD PDF is finite, text/visual-bearing, and Pass 3 marked available_external; cheapest discriminating representation for this evidence question. Video alternatives remain deferred under Pass 4.",NEEDS_HUMAN_SCOPING,OTHER,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,not_applicable,,cheaper_or_peer_alternatives_listed_in_alternate_representation_refs; pass4_acquisition_decision=ACQUIRE_CANDIDATE; pass4_5_mvp=pdf_batch_pending_authorization; no_download_performed; awaiting_human_authorization_gate
erc-4.5-pdf-002-aosrd-webinars-071-zKxcCQelKT4,aosrd-webinars-071-zKxcCQelKT4,aosrd-webinars-071-zKxcCQelKT4::AOSRD_PDF,aosrd-webinars-071-zKxcCQelKT4::AOSRD_PDF,AOSRD_PDF|https://aosrd.org/wp-content/uploads/2025/03/Culinary-Translation_slide-handout_2.pdf,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2025/03/Culinary-Translation_slide-handout_2.pdf,YouTube_video|https://youtu.be/zKxcCQelKT4|pass4_decision=DEFER_IDENTITY_UNRESOLVED,identity_uncertainty,"Does AOSRD PDF for “Culinary Oncology with Chef Laura Pole 04-Mar-2025 (Video)” belong to Pass-1 possible Otter candidate(s) [0pIRZSR5hLU8vZNbqCJ9pLpRE9M], or is the relationship still unresolved after inspecting the PDF?",identity_resolution,possible,0pIRZSR5hLU8vZNbqCJ9pLpRE9M,1,unknown,absent,available_external,accessible,pending,DOWNLOAD_PDF,low,"AOSRD PDF is finite, text/visual-bearing, and Pass 3 marked available_external; cheapest discriminating representation for this evidence question. Video alternatives remain deferred under Pass 4.",NEEDS_HUMAN_SCOPING,OTHER,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,not_applicable,,cheaper_or_peer_alternatives_listed_in_alternate_representation_refs; pass4_acquisition_decision=CONDITIONAL_ACQUIRE; pass4_5_mvp=pdf_batch_pending_authorization; no_download_performed; awaiting_human_authorization_gate
erc-4.5-pdf-003-aosrd-webinars-089-YGd1siNfdVc,aosrd-webinars-089-YGd1siNfdVc,aosrd-webinars-089-YGd1siNfdVc::AOSRD_PDF,aosrd-webinars-089-YGd1siNfdVc::AOSRD_PDF,AOSRD_PDF|https://aosrd.org/wp-content/uploads/2024/10/EMF-2024.pdf,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2024/10/EMF-2024.pdf,YouTube_video|https://youtu.be/YGd1siNfdVc|pass4_decision=DEFER_EXPENSIVE_VIDEO,representation_uncertainty,"Does AOSRD PDF for “EMF and Depletion of Nitric Oxide with Beth Shirley 8-Oct-2024 (Video)” add slide/figure/reference material not present as local images for Otter session EqC6yd4bQDKMl2mpzPURPZu-_Pc, without changing session identity?",representation_enrichment,strong,EqC6yd4bQDKMl2mpzPURPZu-_Pc;FbRyr7EkkewAoPTmXbK9DtUiA_Y,2,unknown,absent,available_external,accessible,pending,DOWNLOAD_PDF,low,"AOSRD PDF is finite, text/visual-bearing, and Pass 3 marked available_external; cheapest discriminating representation for this evidence question. Video alternatives remain deferred under Pass 4.",NEEDS_HUMAN_SCOPING,OTHER,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,not_applicable,,cheaper_or_peer_alternatives_listed_in_alternate_representation_refs; candidate_multiplicity=2; preserve all candidates; pass4_acquisition_decision=ACQUIRE_CANDIDATE; pass4_5_mvp=pdf_batch_pending_authorization; no_download_performed; awaiting_human_authorization_gate
erc-4.5-pdf-004-aosrd-webinars-091-EC0ajS7U0yQ,aosrd-webinars-091-EC0ajS7U0yQ,aosrd-webinars-091-EC0ajS7U0yQ::AOSRD_PDF,aosrd-webinars-091-EC0ajS7U0yQ::AOSRD_PDF,AOSRD_PDF|https://aosrd.org/wp-content/uploads/2024/09/Powerpoint-Drug-induced-Nutrient-Depletion-3-11-23.pptx.pdf,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2024/09/Powerpoint-Drug-induced-Nutrient-Depletion-3-11-23.pptx.pdf,YouTube_video|https://youtu.be/EC0ajS7U0yQ|pass4_decision=DEFER_EXPENSIVE_VIDEO,representation_uncertainty,"Does AOSRD PDF for “Drug Induced Nutrient Depletion with Dr. Harlan Bieley 24-Sep-2024 (Video)” add slide/figure/reference material not present as local images for Otter session FbRyr7EkkewAoPTmXbK9DtUiA_Y, without changing session identity?",representation_enrichment,strong,FbRyr7EkkewAoPTmXbK9DtUiA_Y,1,unknown,absent,available_external,accessible,pending,DOWNLOAD_PDF,low,"AOSRD PDF is finite, text/visual-bearing, and Pass 3 marked available_external; cheapest discriminating representation for this evidence question. Video alternatives remain deferred under Pass 4.",NEEDS_HUMAN_SCOPING,OTHER,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,not_applicable,,cheaper_or_peer_alternatives_listed_in_alternate_representation_refs; pass4_acquisition_decision=ACQUIRE_CANDIDATE; pass4_5_mvp=pdf_batch_pending_authorization; no_download_performed; awaiting_human_authorization_gate
erc-4.5-pdf-005-aosrd-webinars-095-DiZKcMJiLs8,aosrd-webinars-095-DiZKcMJiLs8,aosrd-webinars-095-DiZKcMJiLs8::AOSRD_PDF,aosrd-webinars-095-DiZKcMJiLs8::AOSRD_PDF,AOSRD_PDF|https://aosrd.org/wp-content/uploads/2024/08/Speaking-Engagement-Osteopathic-Conference.pdf,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2024/08/Speaking-Engagement-Osteopathic-Conference.pdf,YouTube_video|https://youtu.be/DiZKcMJiLs8|pass4_decision=DEFER_EXPENSIVE_VIDEO,representation_uncertainty,"Does AOSRD PDF for “Pushing the Limits-From Ultra-Endurance to Revolutionary Patient Care with Lisa Tamati 27-Aug-2024 (Video)” add slide/figure/reference material not present as local images for Otter session pw9yXaKVUW0ETXgSRTRBaLEzqQc, without changing session identity?",representation_enrichment,strong,pw9yXaKVUW0ETXgSRTRBaLEzqQc;4qg44PRw27Y2Jbzl7MXMYCX0HuI;y59a2fEx8UgOiThJHr1w-HcQc1U;wcHy9pPXoWy5S62-GJbpasQtw2o,4,unknown,absent,available_external,accessible,pending,DOWNLOAD_PDF,low,"AOSRD PDF is finite, text/visual-bearing, and Pass 3 marked available_external; cheapest discriminating representation for this evidence question. Video alternatives remain deferred under Pass 4.",NEEDS_HUMAN_SCOPING,OTHER,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,not_applicable,,cheaper_or_peer_alternatives_listed_in_alternate_representation_refs; candidate_multiplicity=4; preserve all candidates; pass4_acquisition_decision=ACQUIRE_CANDIDATE; pass4_5_mvp=pdf_batch_pending_authorization; no_download_performed; awaiting_human_authorization_gate
erc-4.5-pdf-006-aosrd-webinars-141-sqvJDTzrtDc,aosrd-webinars-141-sqvJDTzrtDc,aosrd-webinars-141-sqvJDTzrtDc::AOSRD_PDF,aosrd-webinars-141-sqvJDTzrtDc::AOSRD_PDF,AOSRD_PDF|https://aosrd.org/wp-content/uploads/2023/11/Neuroinflammation-the-road-to-Neuropsychiatric-Illnesses-with-Dr.-Mark-Gordon.pdf,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2023/11/Neuroinflammation-the-road-to-Neuropsychiatric-Illnesses-with-Dr.-Mark-Gordon.pdf,YouTube_video|https://youtu.be/sqvJDTzrtDc|pass4_decision=DEFER_EXPENSIVE_VIDEO,identity_uncertainty,"What session (if any) does AOSRD PDF for “Neuroinflammation-The Road to Neuropsychiatric Illness with Dr. Mark Gordon Nov 21, 2023 (Video)” represent, given Pass 1 no_match to the Otter corpus — without treating no_match as proof of a new lecture?",unlinked_source_investigation,no_match,,0,unknown,absent,available_external,accessible,pending,DOWNLOAD_PDF,low,"AOSRD PDF is finite, text/visual-bearing, and Pass 3 marked available_external; cheapest discriminating representation for this evidence question. Video alternatives remain deferred under Pass 4.",NEEDS_HUMAN_SCOPING,OTHER,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,not_applicable,,cheaper_or_peer_alternatives_listed_in_alternate_representation_refs; pass4_acquisition_decision=ACQUIRE_CANDIDATE; pass4_5_mvp=pdf_batch_pending_authorization; no_download_performed; awaiting_human_authorization_gate
erc-4.5-pdf-007-aosrd-webinars-152-rAUra-Qha5M,aosrd-webinars-152-rAUra-Qha5M,aosrd-webinars-152-rAUra-Qha5M::AOSRD_PDF,aosrd-webinars-152-rAUra-Qha5M::AOSRD_PDF,AOSRD_PDF|https://aosrd.org/dementias-dirty-dozen-with-dr-david-ajibade/,AOSRD_PDF,https://aosrd.org/dementias-dirty-dozen-with-dr-david-ajibade/,YouTube_video|https://youtu.be/rAUra-Qha5M|pass4_decision=DEFER_EXPENSIVE_VIDEO,identity_uncertainty,"What session (if any) does AOSRD PDF for “Dementia’s Dirty Dozen with Dr David Ajibade – Oct 31, 2023 (Video)” represent, given Pass 1 no_match to the Otter corpus — without treating no_match as proof of a new lecture?",unlinked_source_investigation,no_match,,0,unknown,absent,available_external,accessible,pending,DOWNLOAD_PDF,low,"AOSRD PDF is finite, text/visual-bearing, and Pass 3 marked available_external; cheapest discriminating representation for this evidence question. Video alternatives remain deferred under Pass 4.",NEEDS_HUMAN_SCOPING,OTHER,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,not_applicable,,cheaper_or_peer_alternatives_listed_in_alternate_representation_refs; pass4_acquisition_decision=ACQUIRE_CANDIDATE; pass4_5_mvp=pdf_batch_pending_authorization; no_download_performed; awaiting_human_authorization_gate
erc-4.5-pdf-008-aosrd-webinars-153-xF0qI-tdmWo,aosrd-webinars-153-xF0qI-tdmWo,aosrd-webinars-153-xF0qI-tdmWo::AOSRD_PDF,aosrd-webinars-153-xF0qI-tdmWo::AOSRD_PDF,AOSRD_PDF|https://aosrd.org/another-view-of-the-endocannabinoid-system-with-dr-robert-quinn/,AOSRD_PDF,https://aosrd.org/another-view-of-the-endocannabinoid-system-with-dr-robert-quinn/,YouTube_video|https://youtu.be/xF0qI-tdmWo|pass4_decision=DEFER_IDENTITY_UNRESOLVED,identity_uncertainty,"Does AOSRD PDF for “Another View of the Endocannabinoid System with Dr. Robert Quinn – Oct 24, 2023 (Video)” belong to Pass-1 possible Otter candidate(s) [tAtmhIMa7fmRXEWqsjZP4Gl7vkM], or is the relationship still unresolved after inspecting the PDF?",identity_resolution,possible,tAtmhIMa7fmRXEWqsjZP4Gl7vkM,1,unknown,absent,available_external,accessible,pending,DOWNLOAD_PDF,low,"AOSRD PDF is finite, text/visual-bearing, and Pass 3 marked available_external; cheapest discriminating representation for this evidence question. Video alternatives remain deferred under Pass 4.",NEEDS_HUMAN_SCOPING,OTHER,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,not_applicable,,cheaper_or_peer_alternatives_listed_in_alternate_representation_refs; pass4_acquisition_decision=CONDITIONAL_ACQUIRE; pass4_5_mvp=pdf_batch_pending_authorization; no_download_performed; awaiting_human_authorization_gate
erc-4.5-pdf-009-aosrd-webinars-154-S62qYOwRkRs,aosrd-webinars-154-S62qYOwRkRs,aosrd-webinars-154-S62qYOwRkRs::AOSRD_PDF,aosrd-webinars-154-S62qYOwRkRs::AOSRD_PDF,AOSRD_PDF|https://aosrd.org/from-marijuana-to-mushroom-are-plants-and-fungi-natural-with-dr-jeffrey-bock/,AOSRD_PDF,https://aosrd.org/from-marijuana-to-mushroom-are-plants-and-fungi-natural-with-dr-jeffrey-bock/,YouTube_video|https://youtu.be/S62qYOwRkRs|pass4_decision=DEFER_EXPENSIVE_VIDEO,identity_uncertainty,"What session (if any) does AOSRD PDF for “From Marijuana to Mushroom-Are Plants and Fungi ‘Natural’ with Dr. Jeffrey Bock – Oct 17, 2023 (Video)” represent, given Pass 1 no_match to the Otter corpus — without treating no_match as proof of a new lecture?",unlinked_source_investigation,no_match,,0,unknown,absent,available_external,accessible,pending,DOWNLOAD_PDF,low,"AOSRD PDF is finite, text/visual-bearing, and Pass 3 marked available_external; cheapest discriminating representation for this evidence question. Video alternatives remain deferred under Pass 4.",NEEDS_HUMAN_SCOPING,OTHER,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,not_applicable,,cheaper_or_peer_alternatives_listed_in_alternate_representation_refs; pass4_acquisition_decision=ACQUIRE_CANDIDATE; pass4_5_mvp=pdf_batch_pending_authorization; no_download_performed; awaiting_human_authorization_gate
erc-4.5-pdf-010-aosrd-webinars-155-acTTjJWf9rk,aosrd-webinars-155-acTTjJWf9rk,aosrd-webinars-155-acTTjJWf9rk::AOSRD_PDF,aosrd-webinars-155-acTTjJWf9rk::AOSRD_PDF,AOSRD_PDF|https://aosrd.org/intermittent-fasting-stimulating-brown-fat-and-weight-management-with-dr-francisco-calaveri/,AOSRD_PDF,https://aosrd.org/intermittent-fasting-stimulating-brown-fat-and-weight-management-with-dr-francisco-calaveri/,YouTube_video|https://youtu.be/acTTjJWf9rk|pass4_decision=DEFER_EXPENSIVE_VIDEO,identity_uncertainty,"What session (if any) does AOSRD PDF for “Intermittent Fasting, Stimulating Brown Fat, and Weight Management with Dr Franco Calaveri – Oct 10, 2023 (Video)” represent, given Pass 1 no_match to the Otter corpus — without treating no_match as proof of a new lecture?",unlinked_source_investigation,no_match,,0,unknown,absent,available_external,accessible,pending,DOWNLOAD_PDF,low,"AOSRD PDF is finite, text/visual-bearing, and Pass 3 marked available_external; cheapest discriminating representation for this evidence question. Video alternatives remain deferred under Pass 4.",NEEDS_HUMAN_SCOPING,OTHER,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,not_applicable,,cheaper_or_peer_alternatives_listed_in_alternate_representation_refs; pass4_acquisition_decision=ACQUIRE_CANDIDATE; pass4_5_mvp=pdf_batch_pending_authorization; no_download_performed; awaiting_human_authorization_gate
