erc_id,erc_short_id,catalog_record_id,primary_representation_url,human_decision,authorization_state,decision,human_authorization_record,notes
erc-4.5-pdf-001-aosrd-webinars-008-w5yTm2FVNFg,ERC-001,aosrd-webinars-008-w5yTm2FVNFg,https://aosrd.org/wp-content/uploads/2026/06/Ancient-Wisdom-Modern-Healing1.pdf,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-002-aosrd-webinars-071-zKxcCQelKT4,ERC-002,aosrd-webinars-071-zKxcCQelKT4,https://aosrd.org/wp-content/uploads/2025/03/Culinary-Translation_slide-handout_2.pdf,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-003-aosrd-webinars-089-YGd1siNfdVc,ERC-003,aosrd-webinars-089-YGd1siNfdVc,https://aosrd.org/wp-content/uploads/2024/10/EMF-2024.pdf,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-004-aosrd-webinars-091-EC0ajS7U0yQ,ERC-004,aosrd-webinars-091-EC0ajS7U0yQ,https://aosrd.org/wp-content/uploads/2024/09/Powerpoint-Drug-induced-Nutrient-Depletion-3-11-23.pptx.pdf,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-005-aosrd-webinars-095-DiZKcMJiLs8,ERC-005,aosrd-webinars-095-DiZKcMJiLs8,https://aosrd.org/wp-content/uploads/2024/08/Speaking-Engagement-Osteopathic-Conference.pdf,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-006-aosrd-webinars-141-sqvJDTzrtDc,ERC-006,aosrd-webinars-141-sqvJDTzrtDc,https://aosrd.org/wp-content/uploads/2023/11/Neuroinflammation-the-road-to-Neuropsychiatric-Illnesses-with-Dr.-Mark-Gordon.pdf,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-007-aosrd-webinars-152-rAUra-Qha5M,ERC-007,aosrd-webinars-152-rAUra-Qha5M,https://aosrd.org/dementias-dirty-dozen-with-dr-david-ajibade/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-008-aosrd-webinars-153-xF0qI-tdmWo,ERC-008,aosrd-webinars-153-xF0qI-tdmWo,https://aosrd.org/another-view-of-the-endocannabinoid-system-with-dr-robert-quinn/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-009-aosrd-webinars-154-S62qYOwRkRs,ERC-009,aosrd-webinars-154-S62qYOwRkRs,https://aosrd.org/from-marijuana-to-mushroom-are-plants-and-fungi-natural-with-dr-jeffrey-bock/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-010-aosrd-webinars-155-acTTjJWf9rk,ERC-010,aosrd-webinars-155-acTTjJWf9rk,https://aosrd.org/intermittent-fasting-stimulating-brown-fat-and-weight-management-with-dr-francisco-calaveri/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-011-aosrd-webinars-156-rNvF48yMEag,ERC-011,aosrd-webinars-156-rNvF48yMEag,https://aosrd.org/how-to-choose-the-best-stem-cell-sources-for-your-practice-with-dr-joy-kong/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-012-aosrd-webinars-158-BcMb7ZimIEo,ERC-012,aosrd-webinars-158-BcMb7ZimIEo,https://aosrd.org/ivermectin-feeds-bifidobactedium-to-boost-immunity/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-013-aosrd-webinars-159-5DmzZRupogw,ERC-013,aosrd-webinars-159-5DmzZRupogw,https://aosrd.org/unlocking-the-power-of-the-mind-body-connection-with-dr-emmett-miller/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-014-aosrd-webinars-163--JGUhnhLGrQ,ERC-014,aosrd-webinars-163--JGUhnhLGrQ,https://aosrd.org/nutritional-excellence-the-kohana-approach-to-optimal-health-with-dr-rober-quinn/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
