erc_short_id,erc_id,catalog_record_id,primary_representation_type,primary_representation_url,human_decision,authorization_state,decision,decision_reason,human_authorization_record,next_evidence_action,evidence_purpose,pass1_match_class_frozen,candidate_multiplicity,notes
ERC-001,erc-4.5-pdf-001-aosrd-webinars-008-w5yTm2FVNFg,aosrd-webinars-008-w5yTm2FVNFg,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2026/06/Ancient-Wisdom-Modern-Healing1.pdf,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_001;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,unlinked_source_investigation,no_match,0,authorization decision only; does not establish session identity / novelty / KO
ERC-002,erc-4.5-pdf-002-aosrd-webinars-071-zKxcCQelKT4,aosrd-webinars-071-zKxcCQelKT4,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2025/03/Culinary-Translation_slide-handout_2.pdf,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_002;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,1,authorization decision only; does not establish session identity / novelty / KO
ERC-003,erc-4.5-pdf-003-aosrd-webinars-089-YGd1siNfdVc,aosrd-webinars-089-YGd1siNfdVc,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2024/10/EMF-2024.pdf,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_003;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,representation_enrichment,strong,2,authorization decision only; does not establish session identity / novelty / KO
ERC-004,erc-4.5-pdf-004-aosrd-webinars-091-EC0ajS7U0yQ,aosrd-webinars-091-EC0ajS7U0yQ,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2024/09/Powerpoint-Drug-induced-Nutrient-Depletion-3-11-23.pptx.pdf,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_004;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,representation_enrichment,strong,1,authorization decision only; does not establish session identity / novelty / KO
ERC-005,erc-4.5-pdf-005-aosrd-webinars-095-DiZKcMJiLs8,aosrd-webinars-095-DiZKcMJiLs8,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2024/08/Speaking-Engagement-Osteopathic-Conference.pdf,DEFER,deferred,DEFER,HUMAN_DEFER,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_005;human_decision=DEFER;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,representation_enrichment,strong,4,authorization decision only; does not establish session identity / novelty / KO
ERC-006,erc-4.5-pdf-006-aosrd-webinars-141-sqvJDTzrtDc,aosrd-webinars-141-sqvJDTzrtDc,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2023/11/Neuroinflammation-the-road-to-Neuropsychiatric-Illnesses-with-Dr.-Mark-Gordon.pdf,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_006;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,unlinked_source_investigation,no_match,0,authorization decision only; does not establish session identity / novelty / KO
ERC-007,erc-4.5-pdf-007-aosrd-webinars-152-rAUra-Qha5M,aosrd-webinars-152-rAUra-Qha5M,AOSRD_PDF,https://aosrd.org/dementias-dirty-dozen-with-dr-david-ajibade/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_007;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,unlinked_source_investigation,no_match,0,authorization decision only; does not establish session identity / novelty / KO
ERC-008,erc-4.5-pdf-008-aosrd-webinars-153-xF0qI-tdmWo,aosrd-webinars-153-xF0qI-tdmWo,AOSRD_PDF,https://aosrd.org/another-view-of-the-endocannabinoid-system-with-dr-robert-quinn/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_008;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,1,authorization decision only; does not establish session identity / novelty / KO
ERC-009,erc-4.5-pdf-009-aosrd-webinars-154-S62qYOwRkRs,aosrd-webinars-154-S62qYOwRkRs,AOSRD_PDF,https://aosrd.org/from-marijuana-to-mushroom-are-plants-and-fungi-natural-with-dr-jeffrey-bock/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_009;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,unlinked_source_investigation,no_match,0,authorization decision only; does not establish session identity / novelty / KO
ERC-010,erc-4.5-pdf-010-aosrd-webinars-155-acTTjJWf9rk,aosrd-webinars-155-acTTjJWf9rk,AOSRD_PDF,https://aosrd.org/intermittent-fasting-stimulating-brown-fat-and-weight-management-with-dr-francisco-calaveri/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_010;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,unlinked_source_investigation,no_match,0,authorization decision only; does not establish session identity / novelty / KO
