record_id,ecosystem,source,original_title,normalized_title,pass1_reference,pass1_match_class,otter_id,otter_date,packet_dir,aosrd_catalog_record,aosrd_web_url,aosrd_pdf_url,aosrd_pdf_availability,youtube_id,youtube_url,youtube_availability,youtube_title,youtube_published_date,youtube_duration,youtube_captions_status,youtube_transcript_indication,vimeo_url,vimeo_availability,vimeo_captions_status,rumble_url,rumble_availability,rumble_captions_status,external_representation_types,relationship_to_existing_bds_session,local_representation_already_present,potentially_new_source_status,external_text_opportunity,notes
aosrd-webinars-000-R0k2AM7bvcw,AOSRD_Clearfield,aosrd_webinars_youtube,We Can’t Keep Eating Like This with Dr. Paul Clayton​  – Video,we can t keep eating like this with dr paul clayton video,aosrd-webinars-000-R0k2AM7bvcw,possible,Se28ZvfBuNMYHNmwQG9ua7gbTWk,2026-03-10,Research/lectures/clearfield-webinar-2026-03-10,present_local,https://aosrd.org/webinars/,,,R0k2AM7bvcw,https://youtu.be/R0k2AM7bvcw,available_external,We Can't Keep Eating Like This with Dr. Paul Clayton​,,,not_checked,not_checked,,,,,,,AOSRD webpage; YouTube video,possible_existing_session_representation,yes,unclear,not_checked,oembed_author=Clearfield Medical Group; timedtext_list_empty; youtube_player_login_wall_prevents_caption_metadata; published_date/duration not_checked (YouTube player metadata blocked); pass1_match_class_frozen=possible; otter_candidates=1; local=otter_transcript_local
aosrd-webinars-001-1FvBmDULAM0,AOSRD_Clearfield,aosrd_webinars_youtube,Peter Zebot-The Second Law of Human Nature  – Video,peter zebot the second law of human nature video,aosrd-webinars-001-1FvBmDULAM0,no_match,,,,present_local,https://aosrd.org/webinars/,,,1FvBmDULAM0,https://youtu.be/1FvBmDULAM0,available_external,Peter Zebot-The Second Law of Human Nature,,,not_checked,not_checked,,,,,,,AOSRD webpage; YouTube video,potentially_new_session,no,potentially_new_session,not_checked,oembed_author=Clearfield Medical Group; timedtext_list_empty; youtube_player_login_wall_prevents_caption_metadata; published_date/duration not_checked (YouTube player metadata blocked); pass1_match_class_frozen=no_match; otter_candidates=0
aosrd-webinars-002-db3pbTDvVzk,AOSRD_Clearfield,aosrd_webinars_youtube,"The Collagen Network-Rebuild, Stregthen and Maintain Immune Regulation, Creatine and Mitochondrial Magnesium with Jill Beckman  – Video",the collagen network rebuild stregthen and maintain immune regulation creatine and mitochondrial magnesium with jill beckman video,aosrd-webinars-002-db3pbTDvVzk,possible,lnZUNAyEcVNSN0i3JOEbuJcc15A,2025-02-19,Research/lectures/clearfield-webinar-2025-02-19,present_local,https://aosrd.org/webinars/,,,db3pbTDvVzk,https://youtu.be/db3pbTDvVzk,available_external,Collagen Network: Rebuild & Strengthen | Jill Beckman,,,not_checked,not_checked,,,,,,,AOSRD webpage; YouTube video,possible_existing_session_representation,yes,unclear,not_checked,oembed_author=Clearfield Medical Group; timedtext_list_empty; youtube_player_login_wall_prevents_caption_metadata; published_date/duration not_checked (YouTube player metadata blocked); pass1_match_class_frozen=possible; otter_candidates=1; local=otter_transcript_local
aosrd-webinars-003-no_8kTiBj6g,AOSRD_Clearfield,aosrd_webinars_youtube,Build Your Own Personalized Nutritional  Formula from the Ground Up With Michael Lomis – Video,build your own personalized nutritional formula from the ground up with michael lomis video,aosrd-webinars-003-no_8kTiBj6g,no_match,,,,present_local,https://aosrd.org/webinars/,,,no_8kTiBj6g,https://youtu.be/no_8kTiBj6g,available_external,Build Your Own Personalized Nutritional  Formula from the Ground Up With Michael Lomis,,,not_checked,not_checked,,,,,,,AOSRD webpage; YouTube video,potentially_new_session,no,potentially_new_session,not_checked,oembed_author=Clearfield Medical Group; timedtext_list_empty; youtube_player_login_wall_prevents_caption_metadata; published_date/duration not_checked (YouTube player metadata blocked); pass1_match_class_frozen=no_match; otter_candidates=0
aosrd-webinars-004-tIwwIf1egq0,AOSRD_Clearfield,aosrd_webinars_youtube,Why Vitamin C Therapy Works – Video,why vitamin c therapy works video,aosrd-webinars-004-tIwwIf1egq0,no_match,,,,present_local,https://aosrd.org/webinars/,,,tIwwIf1egq0,https://youtu.be/tIwwIf1egq0,available_external,Why Vitamin C Therapy Works,,,not_checked,not_checked,,,,,,,AOSRD webpage; YouTube video,potentially_new_session,no,potentially_new_session,not_checked,oembed_author=Clearfield Medical Group; timedtext_list_empty; youtube_player_login_wall_prevents_caption_metadata; published_date/duration not_checked (YouTube player metadata blocked); pass1_match_class_frozen=no_match; otter_candidates=0
aosrd-webinars-005--2J8nSF-a-g,AOSRD_Clearfield,aosrd_webinars_youtube,"When Syndromes Overlap-A Complex Case History of Hyperadrogenism, Multiple Autoimmune Maladies, and Evolving Metabolic Signals – Video",when syndromes overlap a complex case history of hyperadrogenism multiple autoimmune maladies and evolving metabolic signals video,aosrd-webinars-005--2J8nSF-a-g,no_match,,,,present_local,https://aosrd.org/webinars/,,,-2J8nSF-a-g,https://youtu.be/-2J8nSF-a-g,available_external,When Syndromes Overlap: A Complex Medical Case,,,not_checked,not_checked,,,,,,,AOSRD webpage; YouTube video,potentially_new_session,no,potentially_new_session,not_checked,oembed_author=Clearfield Medical Group; timedtext_list_empty; youtube_player_login_wall_prevents_caption_metadata; published_date/duration not_checked (YouTube player metadata blocked); pass1_match_class_frozen=no_match; otter_candidates=0
aosrd-webinars-006-GavfM5gafHU,AOSRD_Clearfield,aosrd_webinars_youtube,The Psychology of Success with Dr. Jim Naccarato – Video,the psychology of success with dr jim naccarato video,aosrd-webinars-006-GavfM5gafHU,no_match,,,,present_local,https://aosrd.org/webinars/,,,GavfM5gafHU,https://youtu.be/GavfM5gafHU,available_external,The Psychology of Success with Dr. Jim Naccarato,,,not_checked,not_checked,,,,,,,AOSRD webpage; YouTube video,potentially_new_session,no,potentially_new_session,not_checked,oembed_author=Clearfield Medical Group; timedtext_list_empty; youtube_player_login_wall_prevents_caption_metadata; published_date/duration not_checked (YouTube player metadata blocked); pass1_match_class_frozen=no_match; otter_candidates=0
aosrd-webinars-007-TcgYciqCmbM,AOSRD_Clearfield,aosrd_webinars_youtube,From Chronic Illness to High Fit Patients with Jake Guidas – Video,from chronic illness to high fit patients with jake guidas video,aosrd-webinars-007-TcgYciqCmbM,no_match,,,,present_local,https://aosrd.org/webinars/,,,TcgYciqCmbM,https://youtu.be/TcgYciqCmbM,available_external,From Chronic Illness to High Fit Patients with Jake Guidas,,,not_checked,not_checked,,,,,,,AOSRD webpage; YouTube video,potentially_new_session,no,potentially_new_session,not_checked,oembed_author=Clearfield Medical Group; timedtext_list_empty; youtube_player_login_wall_prevents_caption_metadata; published_date/duration not_checked (YouTube player metadata blocked); pass1_match_class_frozen=no_match; otter_candidates=0
aosrd-webinars-008-w5yTm2FVNFg,AOSRD_Clearfield,aosrd_webinars_youtube,Ancient Healing Traditions for Modern Times – Video,ancient healing traditions for modern times video,aosrd-webinars-008-w5yTm2FVNFg,no_match,,,,present_local,https://aosrd.org/webinars/,https://aosrd.org/wp-content/uploads/2026/06/Ancient-Wisdom-Modern-Healing1.pdf,available_external,w5yTm2FVNFg,https://youtu.be/w5yTm2FVNFg,available_external,Ancient Healing Traditions for Modern Times,,,not_checked,not_checked,,,,,,,AOSRD webpage; AOSRD PDF; YouTube video,potentially_new_session,no,potentially_new_session,pdf_available,oembed_author=Clearfield Medical Group; timedtext_list_empty; youtube_player_login_wall_prevents_caption_metadata; published_date/duration not_checked (YouTube player metadata blocked); pass1_match_class_frozen=no_match; otter_candidates=0
aosrd-webinars-009-2qegURyj8Yg,AOSRD_Clearfield,aosrd_webinars_youtube,Could Carbon 60 Be the Next Frontier in Longevity Medicine with Bob Greska – Video,could carbon 60 be the next frontier in longevity medicine with bob greska video,aosrd-webinars-009-2qegURyj8Yg,possible,hxlUjPAXSClySIs4HN1P0CWe_Qk,2026-06-16,Research/lectures/clearfield-webinar-2026-06-16,present_local,https://aosrd.org/webinars/,,,2qegURyj8Yg,https://youtu.be/2qegURyj8Yg,available_external,Could Carbon 60 Be the Next Frontier in Longevity Medicine with Bob Greska,,,not_checked,not_checked,,,,,,,AOSRD webpage; YouTube video,possible_existing_session_representation,yes,unclear,not_checked,oembed_author=Clearfield Medical Group; timedtext_list_empty; youtube_player_login_wall_prevents_caption_metadata; published_date/duration not_checked (YouTube player metadata blocked); pass1_match_class_frozen=possible; otter_candidates=1; local=otter_transcript_local
