record_id,ecosystem,source,original_title,normalized_title,pass1_reference,otter_id,otter_date,packet_dir,packet_json_status,raw_transcript_status,summary_status,structured_lecture_notes_status,quiz_status,key_takeaways_status,infographic_data_status,infographic_status,readme_status,slides_status,slides_claimed_downloaded,slide_pdf_status,slide_images_status,audio_status,video_status,pathway_status,content_kit_status,knowledge_leaves_status,aosrd_catalog_status,aosrd_pdf_url_status,aosrd_pdf_local_status,youtube_id,youtube_url_status,youtube_video_local_status,vimeo_url_status,vimeo_video_local_status,rumble_url_status,rumble_video_local_status,overall_local_representation_status,processing_state_based_on_local_inventory,notes
otter-CMNjlQbT2xu4NqL-9gu4VQSt0mo,AOSRD_Clearfield,clearfield_otter,"Tuesday Integrative Health Webinar — August 6, 2024: Gut Microbiome, Postbiotic Metabolites & Oral Probiotic Dilemma",tuesday integrative health webinar august 6 2024 gut microbiome postbiotic metabolites oral probiotic dilemma,aosrd-webinars-098-33LzcsSXUns:strong;aosrd-webinars-263-lCzuTx9LKnQ:possible;aosrd-webinars-280-gLzMZA_eM5g:possible,CMNjlQbT2xu4NqL-9gu4VQSt0mo,2024-08-06,Research/lectures/clearfield-webinar-2024-08-06,present_local,present_local,present_local,present_local,present_local,present_local,present_local,absent,present_local,absent,false,absent,absent,absent,absent,absent,absent,absent,cataloged_external,cataloged_external,absent,,not_checked,absent,not_checked,absent,not_checked,absent,present_local,text_complete,"otter-manifest.slides_downloaded=true but packet.slides status=none/count=0; treated as absent per packet.json (manifest appears blanket-true); pass1_web_candidates=3 (unconfirmed identity); sync=transcript_only; pass1_candidate_youtube_ids=33LzcsSXUns,gLzMZA_eM5g,lCzuTx9LKnQ (unconfirmed); pass1_candidate_pdf_urls=2 (unconfirmed identity)"
otter-xg4V_A-L8_Ob1jKGBewDTtKzOWg,AOSRD_Clearfield,clearfield_otter,Tuesday Integrative Health Webinar — CDPM Four Pillars / Redox & Immune Modulation,tuesday integrative health webinar cdpm four pillars redox immune modulation,aosrd-webinars-097-qCHRKOIOdyo:strong;aosrd-webinars-158-BcMb7ZimIEo:possible;aosrd-webinars-196-Td9ybE_W-wU:possible;aosrd-webinars-221-MmQQQCArvdc:possible;aosrd-webinars-223-YUkfwX92wGw:possible;aosrd-webinars-254-airYs7uvexw:possible;aosrd-webinars-278-cFsYIDESXoE:possible;aosrd-2022-saturday-9-james-forsythe-2022-forsythe-immune-protocol-update-march-2022:possible,xg4V_A-L8_Ob1jKGBewDTtKzOWg,2024-08-13,Research/lectures/clearfield-webinar-2024-08-13,present_local,present_local,present_local,present_local,present_local,present_local,present_local,absent,present_local,absent,false,absent,absent,absent,absent,present_local,present_local,absent,cataloged_external,cataloged_external,absent,,not_checked,absent,not_checked,absent,not_checked,absent,present_local,text_complete,"otter-manifest.slides_downloaded=true but packet.slides status=none/count=0; treated as absent per packet.json (manifest appears blanket-true); pass1_web_candidates=8 (unconfirmed identity); sync=transcript_only; pass1_candidate_youtube_ids=BcMb7ZimIEo,MmQQQCArvdc,Td9ybE_W-wU,YUkfwX92wGw,airYs7uvexw,cFsYIDESXoE,qCHRKOIOdyo (unconfirmed); pass1_candidate_pdf_urls=3 (unconfirmed identity)"
otter-y59a2fEx8UgOiThJHr1w-HcQc1U,AOSRD_Clearfield,clearfield_otter,"Tuesday Integrative Health Webinar — August 20, 2024: Cancer Treatment–Induced Osteoporosis & Fracture-First Bone Care (Dr. John Newstead)",tuesday integrative health webinar august 20 2024 cancer treatment induced osteoporosis fracture first bone care dr john newstead,aosrd-webinars-030-STzYdlwj7lI:possible;aosrd-webinars-065-l0Rjq3pwOR8:possible;aosrd-webinars-080-zNlsUByAduM:possible;aosrd-webinars-094-vryHjbho0Os:possible;aosrd-webinars-095-DiZKcMJiLs8:possible;aosrd-webinars-096-3m1kSqjO3yI:strong;aosrd-webinars-109-rE4aeyVQ2Ho:possible;aosrd-webinars-173-yAA5qJFYPgg:possible;aosrd-webinars-187:possible;aosrd-webinars-199-GpYX1_vmLFI:possible,y59a2fEx8UgOiThJHr1w-HcQc1U,2024-08-20,Research/lectures/clearfield-webinar-2024-08-20,present_local,present_local,present_local,present_local,present_local,present_local,present_local,absent,present_local,absent,false,absent,absent,absent,absent,absent,absent,absent,cataloged_external,cataloged_external,absent,,not_checked,absent,not_checked,absent,not_checked,absent,present_local,text_complete,"otter-manifest.slides_downloaded=true but packet.slides status=none/count=0; treated as absent per packet.json (manifest appears blanket-true); pass1_web_candidates=10 (unconfirmed identity); sync=transcript_only; pass1_candidate_youtube_ids=3m1kSqjO3yI,DiZKcMJiLs8,GpYX1_vmLFI,STzYdlwj7lI,l0Rjq3pwOR8,rE4aeyVQ2Ho,vryHjbho0Os,yAA5qJFYPgg,zNlsUByAduM (unconfirmed); pass1_candidate_pdf_urls=4 (unconfirmed identity)"
otter-pw9yXaKVUW0ETXgSRTRBaLEzqQc,AOSRD_Clearfield,clearfield_otter,"Tuesday Integrative Health Webinar — August 27, 2024: Lisa Tamati — Resilience, Advocacy & Mother’s Stroke/Cancer Recovery",tuesday integrative health webinar august 27 2024 lisa tamati resilience advocacy mother s stroke cancer recovery,aosrd-webinars-044-MTrSvugiJpo:possible;aosrd-webinars-065-l0Rjq3pwOR8:possible;aosrd-webinars-095-DiZKcMJiLs8:strong,pw9yXaKVUW0ETXgSRTRBaLEzqQc,2024-08-27,Research/lectures/clearfield-webinar-2024-08-27,present_local,present_local,present_local,present_local,present_local,present_local,present_local,absent,present_local,absent,false,absent,absent,absent,absent,absent,absent,absent,cataloged_external,cataloged_external,absent,,not_checked,absent,not_checked,absent,not_checked,absent,present_local,text_complete,"otter-manifest.slides_downloaded=true but packet.slides status=none/count=0; treated as absent per packet.json (manifest appears blanket-true); pass1_web_candidates=3 (unconfirmed identity); sync=transcript_only; pass1_candidate_youtube_ids=DiZKcMJiLs8,MTrSvugiJpo,l0Rjq3pwOR8 (unconfirmed); pass1_candidate_pdf_urls=1 (unconfirmed identity)"
otter-lad4QB8n10SgLwRq48hmZvwDQ2U,AOSRD_Clearfield,clearfield_otter,"Tuesday Integrative Health Webinar — September 3, 2024: Hormone-Balancing Drops, Insulin Resistance & Poly Homeopathy",tuesday integrative health webinar september 3 2024 hormone balancing drops insulin resistance poly homeopathy,aosrd-webinars-094-vryHjbho0Os:strong;aosrd-webinars-112-nzj-iOQyroc:possible;aosrd-webinars-133-DdsK-SLxdqY:possible,lad4QB8n10SgLwRq48hmZvwDQ2U,2024-09-03,Research/lectures/clearfield-webinar-2024-09-03,present_local,present_local,present_local,present_local,present_local,present_local,present_local,absent,present_local,absent,false,absent,absent,absent,absent,absent,absent,absent,cataloged_external,not_checked,absent,,not_checked,absent,not_checked,absent,not_checked,absent,present_local,text_complete,"otter-manifest.slides_downloaded=true but packet.slides status=none/count=0; treated as absent per packet.json (manifest appears blanket-true); pass1_web_candidates=3 (unconfirmed identity); sync=transcript_only; pass1_candidate_youtube_ids=DdsK-SLxdqY,nzj-iOQyroc,vryHjbho0Os (unconfirmed)"
otter-dliX4LcIPRKy-7vE3xcjJ4TlkiI,AOSRD_Clearfield,clearfield_otter,"Tuesday Integrative Health Webinar — September 10, 2024: Classical Homeopathy Cases (Stroke & Crohn’s)",tuesday integrative health webinar september 10 2024 classical homeopathy cases stroke crohn s,aosrd-webinars-093-asNZdMRFj4k:strong;aosrd-webinars-130-Zg1SS0BMLIE:variant_derivative,dliX4LcIPRKy-7vE3xcjJ4TlkiI,2024-09-10,Research/lectures/clearfield-webinar-2024-09-10,present_local,present_local,present_local,present_local,present_local,present_local,present_local,absent,present_local,absent,false,absent,absent,absent,absent,absent,absent,absent,cataloged_external,not_checked,absent,,not_checked,absent,not_checked,absent,not_checked,absent,present_local,text_complete,"otter-manifest.slides_downloaded=true but packet.slides status=none/count=0; treated as absent per packet.json (manifest appears blanket-true); pass1_web_candidates=2 (unconfirmed identity); sync=transcript_only; pass1_candidate_youtube_ids=Zg1SS0BMLIE,asNZdMRFj4k (unconfirmed)"
otter-XFeeYcx6xIW9i1HcL0VfsCVvAjY,AOSRD_Clearfield,clearfield_otter,"Tuesday Integrative Health Webinar — September 17, 2024: Evolving Cannabis Space, ECS & Evidence (Jeffrey Block)",tuesday integrative health webinar september 17 2024 evolving cannabis space ecs evidence jeffrey block,aosrd-webinars-092:possible;aosrd-webinars-131-VFyRiKGUpX4:possible;aosrd-webinars-264-hGZgCspkuI8:possible,XFeeYcx6xIW9i1HcL0VfsCVvAjY,2024-09-17,Research/lectures/clearfield-webinar-2024-09-17,present_local,present_local,present_local,present_local,present_local,present_local,present_local,absent,present_local,absent,false,absent,absent,absent,absent,absent,absent,absent,cataloged_external,not_checked,absent,,not_checked,absent,not_checked,absent,not_checked,absent,present_local,text_complete,"otter-manifest.slides_downloaded=true but packet.slides status=none/count=0; treated as absent per packet.json (manifest appears blanket-true); pass1_web_candidates=3 (unconfirmed identity); sync=transcript_only; pass1_candidate_youtube_ids=VFyRiKGUpX4,hGZgCspkuI8 (unconfirmed)"
otter-FbRyr7EkkewAoPTmXbK9DtUiA_Y,AOSRD_Clearfield,clearfield_otter,"Tuesday Integrative Health Webinar — September 24, 2024: Drug-Induced Nutrient Depletion & Nitric Oxide",tuesday integrative health webinar september 24 2024 drug induced nutrient depletion nitric oxide,aosrd-webinars-080-zNlsUByAduM:possible;aosrd-webinars-089-YGd1siNfdVc:possible;aosrd-webinars-091-EC0ajS7U0yQ:strong;aosrd-webinars-130-Zg1SS0BMLIE:variant_derivative;aosrd-webinars-138-vgRIJLFLR_c:possible;aosrd-webinars-181-0u1-ve92hd0:possible;aosrd-webinars-244-DwiLCdt69H4:possible;aosrd-webinars-276-xf6_T9mUZKc:possible,FbRyr7EkkewAoPTmXbK9DtUiA_Y,2024-09-24,Research/lectures/clearfield-webinar-2024-09-24,present_local,present_local,present_local,present_local,present_local,present_local,present_local,absent,present_local,absent,false,absent,absent,absent,absent,absent,absent,absent,cataloged_external,cataloged_external,absent,,not_checked,absent,not_checked,absent,not_checked,absent,present_local,text_complete,"otter-manifest.slides_downloaded=true but packet.slides status=none/count=0; treated as absent per packet.json (manifest appears blanket-true); pass1_web_candidates=8 (unconfirmed identity); sync=transcript_only; pass1_candidate_youtube_ids=0u1-ve92hd0,DwiLCdt69H4,EC0ajS7U0yQ,YGd1siNfdVc,Zg1SS0BMLIE,vgRIJLFLR_c,xf6_T9mUZKc,zNlsUByAduM (unconfirmed); pass1_candidate_pdf_urls=3 (unconfirmed identity)"
otter-OL_Ukp1RYjVvnjsMHnF2eXCXDC8,AOSRD_Clearfield,clearfield_otter,"Tuesday Integrative Health Webinar — October 1, 2024: Physiologic Menopausal HRT with Felice Gersh",tuesday integrative health webinar october 1 2024 physiologic menopausal hrt with felice gersh,aosrd-webinars-032-ujLADWyiIR8:possible;aosrd-webinars-063-4Nhoej8KtNE:possible;aosrd-webinars-090-upIlResYnYM:strong;aosrd-webinars-112-nzj-iOQyroc:possible;aosrd-webinars-133-DdsK-SLxdqY:possible;aosrd-webinars-148-FcjGN44DJf4:possible;aosrd-webinars-160-gtoydOZzvx4:possible;aosrd-webinars-193-3HKa-GZK_Qw:possible;aosrd-webinars-212-11lqZNd_70Q:possible;aosrd-webinars-247-d0Eh9F8KA6M:possible,OL_Ukp1RYjVvnjsMHnF2eXCXDC8,2024-10-01,Research/lectures/clearfield-webinar-2024-10-01,present_local,present_local,present_local,present_local,present_local,present_local,present_local,absent,present_local,absent,false,absent,absent,absent,absent,absent,absent,absent,cataloged_external,cataloged_external,absent,,not_checked,absent,not_checked,absent,not_checked,absent,present_local,text_complete,"otter-manifest.slides_downloaded=true but packet.slides status=none/count=0; treated as absent per packet.json (manifest appears blanket-true); pass1_web_candidates=10 (unconfirmed identity); sync=transcript_only; pass1_candidate_youtube_ids=11lqZNd_70Q,3HKa-GZK_Qw,4Nhoej8KtNE,DdsK-SLxdqY,FcjGN44DJf4,d0Eh9F8KA6M,gtoydOZzvx4,nzj-iOQyroc,ujLADWyiIR8,upIlResYnYM (unconfirmed); pass1_candidate_pdf_urls=1 (unconfirmed identity)"
otter-EqC6yd4bQDKMl2mpzPURPZu-_Pc,AOSRD_Clearfield,clearfield_otter,"Tuesday Integrative Health Webinar — Nitric Oxide, EMF & Compounding Adjuncts",tuesday integrative health webinar nitric oxide emf compounding adjuncts,aosrd-webinars-089-YGd1siNfdVc:strong;aosrd-webinars-121-SOtnBGCgCUE:possible;aosrd-webinars-181-0u1-ve92hd0:possible;aosrd-webinars-197-92sBrfKcyfE:variant_derivative;aosrd-webinars-202-x6BIrL8qmzk:possible,EqC6yd4bQDKMl2mpzPURPZu-_Pc,2024-10-08,Research/lectures/clearfield-webinar-2024-10-08,present_local,present_local,present_local,present_local,present_local,present_local,present_local,absent,present_local,absent,false,absent,absent,absent,absent,absent,absent,absent,cataloged_external,cataloged_external,absent,,not_checked,absent,not_checked,absent,not_checked,absent,present_local,text_complete,"otter-manifest.slides_downloaded=true but packet.slides status=none/count=0; treated as absent per packet.json (manifest appears blanket-true); pass1_web_candidates=5 (unconfirmed identity); sync=transcript_only; pass1_candidate_youtube_ids=0u1-ve92hd0,92sBrfKcyfE,SOtnBGCgCUE,YGd1siNfdVc,x6BIrL8qmzk (unconfirmed); pass1_candidate_pdf_urls=3 (unconfirmed identity)"
