exception_id,exception_class,erc_id,acquisition_unit_id,catalog_record_id,external_url,detail,requires_human_review
EX-AUTH-ERC-001,missing_or_invalid_authorization_state,erc-4.5-pdf-001-aosrd-webinars-008-w5yTm2FVNFg,,aosrd-webinars-008-w5yTm2FVNFg,https://aosrd.org/wp-content/uploads/2026/06/Ancient-Wisdom-Modern-Healing1.pdf,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-002,missing_or_invalid_authorization_state,erc-4.5-pdf-002-aosrd-webinars-071-zKxcCQelKT4,,aosrd-webinars-071-zKxcCQelKT4,https://aosrd.org/wp-content/uploads/2025/03/Culinary-Translation_slide-handout_2.pdf,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-003,missing_or_invalid_authorization_state,erc-4.5-pdf-003-aosrd-webinars-089-YGd1siNfdVc,,aosrd-webinars-089-YGd1siNfdVc,https://aosrd.org/wp-content/uploads/2024/10/EMF-2024.pdf,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-004,missing_or_invalid_authorization_state,erc-4.5-pdf-004-aosrd-webinars-091-EC0ajS7U0yQ,,aosrd-webinars-091-EC0ajS7U0yQ,https://aosrd.org/wp-content/uploads/2024/09/Powerpoint-Drug-induced-Nutrient-Depletion-3-11-23.pptx.pdf,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-005,missing_or_invalid_authorization_state,erc-4.5-pdf-005-aosrd-webinars-095-DiZKcMJiLs8,,aosrd-webinars-095-DiZKcMJiLs8,https://aosrd.org/wp-content/uploads/2024/08/Speaking-Engagement-Osteopathic-Conference.pdf,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-006,missing_or_invalid_authorization_state,erc-4.5-pdf-006-aosrd-webinars-141-sqvJDTzrtDc,,aosrd-webinars-141-sqvJDTzrtDc,https://aosrd.org/wp-content/uploads/2023/11/Neuroinflammation-the-road-to-Neuropsychiatric-Illnesses-with-Dr.-Mark-Gordon.pdf,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-007,missing_or_invalid_authorization_state,erc-4.5-pdf-007-aosrd-webinars-152-rAUra-Qha5M,,aosrd-webinars-152-rAUra-Qha5M,https://aosrd.org/dementias-dirty-dozen-with-dr-david-ajibade/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-008,missing_or_invalid_authorization_state,erc-4.5-pdf-008-aosrd-webinars-153-xF0qI-tdmWo,,aosrd-webinars-153-xF0qI-tdmWo,https://aosrd.org/another-view-of-the-endocannabinoid-system-with-dr-robert-quinn/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-009,missing_or_invalid_authorization_state,erc-4.5-pdf-009-aosrd-webinars-154-S62qYOwRkRs,,aosrd-webinars-154-S62qYOwRkRs,https://aosrd.org/from-marijuana-to-mushroom-are-plants-and-fungi-natural-with-dr-jeffrey-bock/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-010,missing_or_invalid_authorization_state,erc-4.5-pdf-010-aosrd-webinars-155-acTTjJWf9rk,,aosrd-webinars-155-acTTjJWf9rk,https://aosrd.org/intermittent-fasting-stimulating-brown-fat-and-weight-management-with-dr-francisco-calaveri/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-011,missing_or_invalid_authorization_state,erc-4.5-pdf-011-aosrd-webinars-156-rNvF48yMEag,,aosrd-webinars-156-rNvF48yMEag,https://aosrd.org/how-to-choose-the-best-stem-cell-sources-for-your-practice-with-dr-joy-kong/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-012,missing_or_invalid_authorization_state,erc-4.5-pdf-012-aosrd-webinars-158-BcMb7ZimIEo,,aosrd-webinars-158-BcMb7ZimIEo,https://aosrd.org/ivermectin-feeds-bifidobactedium-to-boost-immunity/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-013,missing_or_invalid_authorization_state,erc-4.5-pdf-013-aosrd-webinars-159-5DmzZRupogw,,aosrd-webinars-159-5DmzZRupogw,https://aosrd.org/unlocking-the-power-of-the-mind-body-connection-with-dr-emmett-miller/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-014,missing_or_invalid_authorization_state,erc-4.5-pdf-014-aosrd-webinars-163--JGUhnhLGrQ,,aosrd-webinars-163--JGUhnhLGrQ,https://aosrd.org/nutritional-excellence-the-kohana-approach-to-optimal-health-with-dr-rober-quinn/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-015,missing_or_invalid_authorization_state,erc-4.5-pdf-015-aosrd-webinars-166-RM39JRpthTg,,aosrd-webinars-166-RM39JRpthTg,https://aosrd.org/wp-content/uploads/2023/07/Pharmacology-of-Emerging-Therapies-in-Chronic-Disease-Management-2023.pdf,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-016,missing_or_invalid_authorization_state,erc-4.5-pdf-016-aosrd-webinars-169-xIY-4j04zh0,,aosrd-webinars-169-xIY-4j04zh0,https://aosrd.org/live-healthier-better-and-longer-with-hydrogen-by-bob-settineri/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-017,missing_or_invalid_authorization_state,erc-4.5-pdf-017-aosrd-webinars-170-hj4CXKqCtkg,,aosrd-webinars-170-hj4CXKqCtkg,https://aosrd.org/the-incretin-hormones-and-the-new-face-of-weight-loss-with-dr-william-clearfield/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-018,missing_or_invalid_authorization_state,erc-4.5-pdf-018-aosrd-webinars-171-wSFbd7D8Lpw,,aosrd-webinars-171-wSFbd7D8Lpw,https://aosrd.org/integrative-imunity-part-2-dr-benoit-tano/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-019,missing_or_invalid_authorization_state,erc-4.5-pdf-019-aosrd-webinars-172-aPPCKg2l-eQ,,aosrd-webinars-172-aPPCKg2l-eQ,https://aosrd.org/everything-you-ever-wanted-to-peptides-with-dr-jay-campbell/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-020,missing_or_invalid_authorization_state,erc-4.5-pdf-020-aosrd-webinars-173-yAA5qJFYPgg,,aosrd-webinars-173-yAA5qJFYPgg,https://aosrd.org/the-importance-of-polysacchari-unction-with-dr-john-e-lewis/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-021,missing_or_invalid_authorization_state,erc-4.5-pdf-021-aosrd-webinars-174-LcK7emnFeVk,,aosrd-webinars-174-LcK7emnFeVk,https://aosrd.org/clinical-applications-of-amlexonax/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-022,missing_or_invalid_authorization_state,erc-4.5-pdf-022-aosrd-webinars-175-wTPrdOyALx0,,aosrd-webinars-175-wTPrdOyALx0,https://aosrd.org/ehlers-danlos-syndrome-treated-with-frequency-specific-microcurrant-by-dr-carol-mcmakin/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-023,missing_or_invalid_authorization_state,erc-4.5-pdf-023-aosrd-webinars-178-D7o1Fdgy42o,,aosrd-webinars-178-D7o1Fdgy42o,https://aosrd.org/cannabis-101-with-dr-kent-crowley/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-024,missing_or_invalid_authorization_state,erc-4.5-pdf-024-aosrd-webinars-179-9suZ_6zVHEM,,aosrd-webinars-179-9suZ_6zVHEM,https://aosrd.org/methylene-blue-with-dr-bill-clearfield/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-025,missing_or_invalid_authorization_state,erc-4.5-pdf-025-aosrd-webinars-180-XS22Ub34U-o,,aosrd-webinars-180-XS22Ub34U-o,https://aosrd.org/autism-with-dr-jenny-blanchard-stone/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-026,missing_or_invalid_authorization_state,erc-4.5-pdf-026-aosrd-webinars-182-FsuYMzPyjWE,,aosrd-webinars-182-FsuYMzPyjWE,https://aosrd.org/the-new-face-of-weight-loss-with-dr-bill-clearfield/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-027,missing_or_invalid_authorization_state,erc-4.5-pdf-027-aosrd-webinars-183-CW3op9BkNI8,,aosrd-webinars-183-CW3op9BkNI8,https://aosrd.org/behind-the-scenes-thyroid-mechanisms-with-dr-brad-watts/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-028,missing_or_invalid_authorization_state,erc-4.5-pdf-028-aosrd-webinars-184-4nZN4zvp_Uk,,aosrd-webinars-184-4nZN4zvp_Uk,https://aosrd.org/bioregulatory-medicine-applied-to-fur-babies-with-dr-marlene-siegel/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
