acquisition_unit_id,representation_type,source_system,external_url_original,external_url_canonical,canonicalization_status,authorized_erc_ids,catalog_record_ids,acquisition_purpose,shared_representation,erc_reference_count,local_presence_status,pass4_5_authorization_state,epistemic_ceiling,notes
AU-001,AOSRD_PDF,aosrd,https://aosrd.org/another-view-of-the-endocannabinoid-system-with-dr-robert-quinn/,https://aosrd.org/another-view-of-the-endocannabinoid-system-with-dr-robert-quinn/,ok,erc-4.5-pdf-008-aosrd-webinars-153-xF0qI-tdmWo,aosrd-webinars-153-xF0qI-tdmWo,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/another-view-of-the-endocannabinoid-system-with-dr-robert-quinn/; original_urls=1; contributing_ercs=1
AU-002,AOSRD_PDF,aosrd,https://aosrd.org/anti-aging-medicine-with-dr-mikhail-berman/,https://aosrd.org/anti-aging-medicine-with-dr-mikhail-berman/,ok,erc-4.5-pdf-049-aosrd-webinars-230-P7DyhMvm0SA,aosrd-webinars-230-P7DyhMvm0SA,new_session_candidate,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/anti-aging-medicine-with-dr-mikhail-berman/; original_urls=1; contributing_ercs=1
AU-003,AOSRD_PDF,aosrd,https://aosrd.org/autism-with-dr-jenny-blanchard-stone/,https://aosrd.org/autism-with-dr-jenny-blanchard-stone/,ok,erc-4.5-pdf-025-aosrd-webinars-180-XS22Ub34U-o,aosrd-webinars-180-XS22Ub34U-o,new_session_candidate,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/autism-with-dr-jenny-blanchard-stone/; original_urls=1; contributing_ercs=1
AU-004,AOSRD_PDF,aosrd,https://aosrd.org/behind-the-scenes-thyroid-mechanisms-with-dr-brad-watts/,https://aosrd.org/behind-the-scenes-thyroid-mechanisms-with-dr-brad-watts/,ok,erc-4.5-pdf-027-aosrd-webinars-183-CW3op9BkNI8,aosrd-webinars-183-CW3op9BkNI8,new_session_candidate,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/behind-the-scenes-thyroid-mechanisms-with-dr-brad-watts/; original_urls=1; contributing_ercs=1
AU-005,AOSRD_PDF,aosrd,https://aosrd.org/bioregulatory-medicine-applied-to-fur-babies-with-dr-marlene-siegel/,https://aosrd.org/bioregulatory-medicine-applied-to-fur-babies-with-dr-marlene-siegel/,ok,erc-4.5-pdf-028-aosrd-webinars-184-4nZN4zvp_Uk,aosrd-webinars-184-4nZN4zvp_Uk,new_session_candidate,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/bioregulatory-medicine-applied-to-fur-babies-with-dr-marlene-siegel/; original_urls=1; contributing_ercs=1
AU-006,AOSRD_PDF,aosrd,https://aosrd.org/cannabis-101-with-dr-kent-crowley/,https://aosrd.org/cannabis-101-with-dr-kent-crowley/,ok,erc-4.5-pdf-023-aosrd-webinars-178-D7o1Fdgy42o,aosrd-webinars-178-D7o1Fdgy42o,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/cannabis-101-with-dr-kent-crowley/; original_urls=1; contributing_ercs=1
AU-007,AOSRD_PDF,aosrd,https://aosrd.org/chronic-fatigue-syndrome/,https://aosrd.org/chronic-fatigue-syndrome/,ok,erc-4.5-pdf-054-aosrd-webinars-236-JdOL-00shnA,aosrd-webinars-236-JdOL-00shnA,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/chronic-fatigue-syndrome/; original_urls=1; contributing_ercs=1
AU-008,AOSRD_PDF,aosrd,https://aosrd.org/clinical-applications-of-amlexonax/,https://aosrd.org/clinical-applications-of-amlexonax/,ok,erc-4.5-pdf-021-aosrd-webinars-174-LcK7emnFeVk,aosrd-webinars-174-LcK7emnFeVk,new_session_candidate,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/clinical-applications-of-amlexonax/; original_urls=1; contributing_ercs=1
AU-009,AOSRD_PDF,aosrd,https://aosrd.org/dementias-dirty-dozen-with-dr-david-ajibade/,https://aosrd.org/dementias-dirty-dozen-with-dr-david-ajibade/,ok,erc-4.5-pdf-007-aosrd-webinars-152-rAUra-Qha5M,aosrd-webinars-152-rAUra-Qha5M,new_session_candidate,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/dementias-dirty-dozen-with-dr-david-ajibade/; original_urls=1; contributing_ercs=1
AU-010,AOSRD_PDF,aosrd,https://aosrd.org/ehlers-danlos-syndrome-treated-with-frequency-specific-microcurrant-by-dr-carol-mcmakin/,https://aosrd.org/ehlers-danlos-syndrome-treated-with-frequency-specific-microcurrant-by-dr-carol-mcmakin/,ok,erc-4.5-pdf-022-aosrd-webinars-175-wTPrdOyALx0,aosrd-webinars-175-wTPrdOyALx0,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/ehlers-danlos-syndrome-treated-with-frequency-specific-microcurrant-by-dr-carol-mcmakin/; original_urls=1; contributing_ercs=1
AU-011,AOSRD_PDF,aosrd,https://aosrd.org/everything-you-ever-wanted-to-peptides-with-dr-jay-campbell/,https://aosrd.org/everything-you-ever-wanted-to-peptides-with-dr-jay-campbell/,ok,erc-4.5-pdf-019-aosrd-webinars-172-aPPCKg2l-eQ,aosrd-webinars-172-aPPCKg2l-eQ,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/everything-you-ever-wanted-to-peptides-with-dr-jay-campbell/; original_urls=1; contributing_ercs=1
