erc_id,erc_short_id,authorization_state,catalog_record_id,representation_type,external_url_original,external_url_canonical,acquisition_unit_id,local_path,sha256,acquisition_status,relationship_role,notes
erc-4.5-pdf-001-aosrd-webinars-008-w5yTm2FVNFg,ERC-001,AUTHORIZE,aosrd-webinars-008-w5yTm2FVNFg,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2026/06/Ancient-Wisdom-Modern-Healing1.pdf,https://aosrd.org/wp-content/uploads/2026/06/Ancient-Wisdom-Modern-Healing1.pdf,AU-054,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-002-aosrd-webinars-071-zKxcCQelKT4,ERC-002,AUTHORIZE,aosrd-webinars-071-zKxcCQelKT4,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2025/03/Culinary-Translation_slide-handout_2.pdf,https://aosrd.org/wp-content/uploads/2025/03/Culinary-Translation_slide-handout_2.pdf,AU-053,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-003-aosrd-webinars-089-YGd1siNfdVc,ERC-003,AUTHORIZE,aosrd-webinars-089-YGd1siNfdVc,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2024/10/EMF-2024.pdf,https://aosrd.org/wp-content/uploads/2024/10/EMF-2024.pdf,AU-052,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-004-aosrd-webinars-091-EC0ajS7U0yQ,ERC-004,AUTHORIZE,aosrd-webinars-091-EC0ajS7U0yQ,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2024/09/Powerpoint-Drug-induced-Nutrient-Depletion-3-11-23.pptx.pdf,https://aosrd.org/wp-content/uploads/2024/09/Powerpoint-Drug-induced-Nutrient-Depletion-3-11-23.pptx.pdf,AU-051,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-005-aosrd-webinars-095-DiZKcMJiLs8,ERC-005,DEFER,aosrd-webinars-095-DiZKcMJiLs8,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2024/08/Speaking-Engagement-Osteopathic-Conference.pdf,https://aosrd.org/wp-content/uploads/2024/08/Speaking-Engagement-Osteopathic-Conference.pdf,,,,not_acquired,not_authorized_for_acquisition,no acquisition without AUTHORIZE
erc-4.5-pdf-006-aosrd-webinars-141-sqvJDTzrtDc,ERC-006,AUTHORIZE,aosrd-webinars-141-sqvJDTzrtDc,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2023/11/Neuroinflammation-the-road-to-Neuropsychiatric-Illnesses-with-Dr.-Mark-Gordon.pdf,https://aosrd.org/wp-content/uploads/2023/11/Neuroinflammation-the-road-to-Neuropsychiatric-Illnesses-with-Dr.-Mark-Gordon.pdf,AU-050,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-007-aosrd-webinars-152-rAUra-Qha5M,ERC-007,AUTHORIZE,aosrd-webinars-152-rAUra-Qha5M,AOSRD_PDF,https://aosrd.org/dementias-dirty-dozen-with-dr-david-ajibade/,https://aosrd.org/dementias-dirty-dozen-with-dr-david-ajibade/,AU-009,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-008-aosrd-webinars-153-xF0qI-tdmWo,ERC-008,AUTHORIZE,aosrd-webinars-153-xF0qI-tdmWo,AOSRD_PDF,https://aosrd.org/another-view-of-the-endocannabinoid-system-with-dr-robert-quinn/,https://aosrd.org/another-view-of-the-endocannabinoid-system-with-dr-robert-quinn/,AU-001,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-009-aosrd-webinars-154-S62qYOwRkRs,ERC-009,AUTHORIZE,aosrd-webinars-154-S62qYOwRkRs,AOSRD_PDF,https://aosrd.org/from-marijuana-to-mushroom-are-plants-and-fungi-natural-with-dr-jeffrey-bock/,https://aosrd.org/from-marijuana-to-mushroom-are-plants-and-fungi-natural-with-dr-jeffrey-bock/,AU-014,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-010-aosrd-webinars-155-acTTjJWf9rk,ERC-010,AUTHORIZE,aosrd-webinars-155-acTTjJWf9rk,AOSRD_PDF,https://aosrd.org/intermittent-fasting-stimulating-brown-fat-and-weight-management-with-dr-francisco-calaveri/,https://aosrd.org/intermittent-fasting-stimulating-brown-fat-and-weight-management-with-dr-francisco-calaveri/,AU-020,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-011-aosrd-webinars-156-rNvF48yMEag,ERC-011,AUTHORIZE,aosrd-webinars-156-rNvF48yMEag,AOSRD_PDF,https://aosrd.org/how-to-choose-the-best-stem-cell-sources-for-your-practice-with-dr-joy-kong/,https://aosrd.org/how-to-choose-the-best-stem-cell-sources-for-your-practice-with-dr-joy-kong/,AU-016,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-012-aosrd-webinars-158-BcMb7ZimIEo,ERC-012,AUTHORIZE,aosrd-webinars-158-BcMb7ZimIEo,AOSRD_PDF,https://aosrd.org/ivermectin-feeds-bifidobactedium-to-boost-immunity/,https://aosrd.org/ivermectin-feeds-bifidobactedium-to-boost-immunity/,AU-021,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-013-aosrd-webinars-159-5DmzZRupogw,ERC-013,AUTHORIZE,aosrd-webinars-159-5DmzZRupogw,AOSRD_PDF,https://aosrd.org/unlocking-the-power-of-the-mind-body-connection-with-dr-emmett-miller/,https://aosrd.org/unlocking-the-power-of-the-mind-body-connection-with-dr-emmett-miller/,AU-040,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-014-aosrd-webinars-163--JGUhnhLGrQ,ERC-014,AUTHORIZE,aosrd-webinars-163--JGUhnhLGrQ,AOSRD_PDF,https://aosrd.org/nutritional-excellence-the-kohana-approach-to-optimal-health-with-dr-rober-quinn/,https://aosrd.org/nutritional-excellence-the-kohana-approach-to-optimal-health-with-dr-rober-quinn/,AU-027,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-015-aosrd-webinars-166-RM39JRpthTg,ERC-015,AUTHORIZE,aosrd-webinars-166-RM39JRpthTg,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2023/07/Pharmacology-of-Emerging-Therapies-in-Chronic-Disease-Management-2023.pdf,https://aosrd.org/wp-content/uploads/2023/07/Pharmacology-of-Emerging-Therapies-in-Chronic-Disease-Management-2023.pdf,AU-049,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-016-aosrd-webinars-169-xIY-4j04zh0,ERC-016,AUTHORIZE,aosrd-webinars-169-xIY-4j04zh0,AOSRD_PDF,https://aosrd.org/live-healthier-better-and-longer-with-hydrogen-by-bob-settineri/,https://aosrd.org/live-healthier-better-and-longer-with-hydrogen-by-bob-settineri/,AU-022,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-017-aosrd-webinars-170-hj4CXKqCtkg,ERC-017,AUTHORIZE,aosrd-webinars-170-hj4CXKqCtkg,AOSRD_PDF,https://aosrd.org/the-incretin-hormones-and-the-new-face-of-weight-loss-with-dr-william-clearfield/,https://aosrd.org/the-incretin-hormones-and-the-new-face-of-weight-loss-with-dr-william-clearfield/,AU-035,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-018-aosrd-webinars-171-wSFbd7D8Lpw,ERC-018,DEFER,aosrd-webinars-171-wSFbd7D8Lpw,AOSRD_PDF,https://aosrd.org/integrative-imunity-part-2-dr-benoit-tano/,https://aosrd.org/integrative-imunity-part-2-dr-benoit-tano/,,,,not_acquired,not_authorized_for_acquisition,no acquisition without AUTHORIZE
erc-4.5-pdf-019-aosrd-webinars-172-aPPCKg2l-eQ,ERC-019,AUTHORIZE,aosrd-webinars-172-aPPCKg2l-eQ,AOSRD_PDF,https://aosrd.org/everything-you-ever-wanted-to-peptides-with-dr-jay-campbell/,https://aosrd.org/everything-you-ever-wanted-to-peptides-with-dr-jay-campbell/,AU-011,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-020-aosrd-webinars-173-yAA5qJFYPgg,ERC-020,AUTHORIZE,aosrd-webinars-173-yAA5qJFYPgg,AOSRD_PDF,https://aosrd.org/the-importance-of-polysacchari-unction-with-dr-john-e-lewis/,https://aosrd.org/the-importance-of-polysacchari-unction-with-dr-john-e-lewis/,AU-034,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-021-aosrd-webinars-174-LcK7emnFeVk,ERC-021,AUTHORIZE,aosrd-webinars-174-LcK7emnFeVk,AOSRD_PDF,https://aosrd.org/clinical-applications-of-amlexonax/,https://aosrd.org/clinical-applications-of-amlexonax/,AU-008,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-022-aosrd-webinars-175-wTPrdOyALx0,ERC-022,AUTHORIZE,aosrd-webinars-175-wTPrdOyALx0,AOSRD_PDF,https://aosrd.org/ehlers-danlos-syndrome-treated-with-frequency-specific-microcurrant-by-dr-carol-mcmakin/,https://aosrd.org/ehlers-danlos-syndrome-treated-with-frequency-specific-microcurrant-by-dr-carol-mcmakin/,AU-010,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-023-aosrd-webinars-178-D7o1Fdgy42o,ERC-023,AUTHORIZE,aosrd-webinars-178-D7o1Fdgy42o,AOSRD_PDF,https://aosrd.org/cannabis-101-with-dr-kent-crowley/,https://aosrd.org/cannabis-101-with-dr-kent-crowley/,AU-006,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-024-aosrd-webinars-179-9suZ_6zVHEM,ERC-024,AUTHORIZE,aosrd-webinars-179-9suZ_6zVHEM,AOSRD_PDF,https://aosrd.org/methylene-blue-with-dr-bill-clearfield/,https://aosrd.org/methylene-blue-with-dr-bill-clearfield/,AU-024,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-025-aosrd-webinars-180-XS22Ub34U-o,ERC-025,AUTHORIZE,aosrd-webinars-180-XS22Ub34U-o,AOSRD_PDF,https://aosrd.org/autism-with-dr-jenny-blanchard-stone/,https://aosrd.org/autism-with-dr-jenny-blanchard-stone/,AU-003,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-026-aosrd-webinars-182-FsuYMzPyjWE,ERC-026,AUTHORIZE,aosrd-webinars-182-FsuYMzPyjWE,AOSRD_PDF,https://aosrd.org/the-new-face-of-weight-loss-with-dr-bill-clearfield/,https://aosrd.org/the-new-face-of-weight-loss-with-dr-bill-clearfield/,AU-036,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-027-aosrd-webinars-183-CW3op9BkNI8,ERC-027,AUTHORIZE,aosrd-webinars-183-CW3op9BkNI8,AOSRD_PDF,https://aosrd.org/behind-the-scenes-thyroid-mechanisms-with-dr-brad-watts/,https://aosrd.org/behind-the-scenes-thyroid-mechanisms-with-dr-brad-watts/,AU-004,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-028-aosrd-webinars-184-4nZN4zvp_Uk,ERC-028,AUTHORIZE,aosrd-webinars-184-4nZN4zvp_Uk,AOSRD_PDF,https://aosrd.org/bioregulatory-medicine-applied-to-fur-babies-with-dr-marlene-siegel/,https://aosrd.org/bioregulatory-medicine-applied-to-fur-babies-with-dr-marlene-siegel/,AU-005,,,planned,sole_authorization,representation reuse ≠ session identity
