erc_id,authorization_state,representation_type,external_url,acquisition_purpose,catalog_record,shared_representation_status,acquisition_unit_id,local_presence_status
erc-4.5-pdf-001-aosrd-webinars-008-w5yTm2FVNFg,AUTHORIZE,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2026/06/Ancient-Wisdom-Modern-Healing1.pdf,new_session_candidate,aosrd-webinars-008-w5yTm2FVNFg,false,AU-054,not_present
erc-4.5-pdf-002-aosrd-webinars-071-zKxcCQelKT4,AUTHORIZE,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2025/03/Culinary-Translation_slide-handout_2.pdf,identity_resolution,aosrd-webinars-071-zKxcCQelKT4,false,AU-053,not_present
erc-4.5-pdf-003-aosrd-webinars-089-YGd1siNfdVc,AUTHORIZE,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2024/10/EMF-2024.pdf,representation_enrichment,aosrd-webinars-089-YGd1siNfdVc,false,AU-052,not_present
erc-4.5-pdf-004-aosrd-webinars-091-EC0ajS7U0yQ,AUTHORIZE,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2024/09/Powerpoint-Drug-induced-Nutrient-Depletion-3-11-23.pptx.pdf,representation_enrichment,aosrd-webinars-091-EC0ajS7U0yQ,false,AU-051,not_present
erc-4.5-pdf-005-aosrd-webinars-095-DiZKcMJiLs8,DEFER,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2024/08/Speaking-Engagement-Osteopathic-Conference.pdf,representation_enrichment,aosrd-webinars-095-DiZKcMJiLs8,not_queued,,not_applicable
erc-4.5-pdf-006-aosrd-webinars-141-sqvJDTzrtDc,AUTHORIZE,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2023/11/Neuroinflammation-the-road-to-Neuropsychiatric-Illnesses-with-Dr.-Mark-Gordon.pdf,new_session_candidate,aosrd-webinars-141-sqvJDTzrtDc,false,AU-050,not_present
erc-4.5-pdf-007-aosrd-webinars-152-rAUra-Qha5M,AUTHORIZE,AOSRD_PDF,https://aosrd.org/dementias-dirty-dozen-with-dr-david-ajibade/,new_session_candidate,aosrd-webinars-152-rAUra-Qha5M,false,AU-009,not_present
erc-4.5-pdf-008-aosrd-webinars-153-xF0qI-tdmWo,AUTHORIZE,AOSRD_PDF,https://aosrd.org/another-view-of-the-endocannabinoid-system-with-dr-robert-quinn/,identity_resolution,aosrd-webinars-153-xF0qI-tdmWo,false,AU-001,not_present
erc-4.5-pdf-009-aosrd-webinars-154-S62qYOwRkRs,AUTHORIZE,AOSRD_PDF,https://aosrd.org/from-marijuana-to-mushroom-are-plants-and-fungi-natural-with-dr-jeffrey-bock/,new_session_candidate,aosrd-webinars-154-S62qYOwRkRs,false,AU-014,not_present
erc-4.5-pdf-010-aosrd-webinars-155-acTTjJWf9rk,AUTHORIZE,AOSRD_PDF,https://aosrd.org/intermittent-fasting-stimulating-brown-fat-and-weight-management-with-dr-francisco-calaveri/,new_session_candidate,aosrd-webinars-155-acTTjJWf9rk,false,AU-020,not_present
erc-4.5-pdf-011-aosrd-webinars-156-rNvF48yMEag,AUTHORIZE,AOSRD_PDF,https://aosrd.org/how-to-choose-the-best-stem-cell-sources-for-your-practice-with-dr-joy-kong/,new_session_candidate,aosrd-webinars-156-rNvF48yMEag,false,AU-016,not_present
erc-4.5-pdf-012-aosrd-webinars-158-BcMb7ZimIEo,AUTHORIZE,AOSRD_PDF,https://aosrd.org/ivermectin-feeds-bifidobactedium-to-boost-immunity/,identity_resolution,aosrd-webinars-158-BcMb7ZimIEo,false,AU-021,not_present
erc-4.5-pdf-013-aosrd-webinars-159-5DmzZRupogw,AUTHORIZE,AOSRD_PDF,https://aosrd.org/unlocking-the-power-of-the-mind-body-connection-with-dr-emmett-miller/,new_session_candidate,aosrd-webinars-159-5DmzZRupogw,false,AU-040,not_present
erc-4.5-pdf-014-aosrd-webinars-163--JGUhnhLGrQ,AUTHORIZE,AOSRD_PDF,https://aosrd.org/nutritional-excellence-the-kohana-approach-to-optimal-health-with-dr-rober-quinn/,identity_resolution,aosrd-webinars-163--JGUhnhLGrQ,false,AU-027,not_present
erc-4.5-pdf-015-aosrd-webinars-166-RM39JRpthTg,AUTHORIZE,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2023/07/Pharmacology-of-Emerging-Therapies-in-Chronic-Disease-Management-2023.pdf,new_session_candidate,aosrd-webinars-166-RM39JRpthTg,false,AU-049,not_present
erc-4.5-pdf-016-aosrd-webinars-169-xIY-4j04zh0,AUTHORIZE,AOSRD_PDF,https://aosrd.org/live-healthier-better-and-longer-with-hydrogen-by-bob-settineri/,new_session_candidate,aosrd-webinars-169-xIY-4j04zh0,false,AU-022,not_present
erc-4.5-pdf-017-aosrd-webinars-170-hj4CXKqCtkg,AUTHORIZE,AOSRD_PDF,https://aosrd.org/the-incretin-hormones-and-the-new-face-of-weight-loss-with-dr-william-clearfield/,identity_resolution,aosrd-webinars-170-hj4CXKqCtkg,false,AU-035,not_present
erc-4.5-pdf-018-aosrd-webinars-171-wSFbd7D8Lpw,DEFER,AOSRD_PDF,https://aosrd.org/integrative-imunity-part-2-dr-benoit-tano/,identity_resolution,aosrd-webinars-171-wSFbd7D8Lpw,not_queued,,not_applicable
