web_record_id,source,original_title,normalized_title,web_date,youtube_id,aosrd_url,pdf_url,candidate_otter_id,otter_date,otter_packet_dir,otter_original_title,otter_enriched_title,otter_processed,screenshot_count,match_class,match_reason,title_similarity,date_relationship,speaker_relationship,variant_flag,needs_human_review,web_speakers,topic_hits
aosrd-webinars-000-R0k2AM7bvcw,aosrd_webinars_youtube,We Can’t Keep Eating Like This with Dr. Paul Clayton​  – Video,we can t keep eating like this with dr paul clayton -,,R0k2AM7bvcw,https://aosrd.org/webinars/,,Se28ZvfBuNMYHNmwQG9ua7gbTWk,2026-03-10,Research/lectures/clearfield-webinar-2026-03-10,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — March 10, 2026: Paul Clayton Pharmaco-Nutrition & GHK-Cu",True,83,possible,topic/title similarity; insufficient independent evidence,0.349,unknown,aligned,no,yes,Paul Clayton,"clayton,paul"
aosrd-webinars-001-1FvBmDULAM0,aosrd_webinars_youtube,Peter Zebot-The Second Law of Human Nature  – Video,peter zebot-the second law of human nature -,,1FvBmDULAM0,https://aosrd.org/webinars/,,,,,,,,,no_match,no reasonable otter candidate,,unknown,unknown,no,yes,,
aosrd-webinars-002-db3pbTDvVzk,aosrd_webinars_youtube,"The Collagen Network-Rebuild, Stregthen and Maintain Immune Regulation, Creatine and Mitochondrial Magnesium with Jill Beckman  – Video",the collagen network-rebuild stregthen and maintain immune regulation creatine and mitochondrial magnesium with jill beckman -,,db3pbTDvVzk,https://aosrd.org/webinars/,,lnZUNAyEcVNSN0i3JOEbuJcc15A,2025-02-19,Research/lectures/clearfield-webinar-2025-02-19,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — February 19, 2025: Thymosin Alpha-1 & Thymogen Immune Peptides",True,49,possible,topic/title similarity; insufficient independent evidence,0.255,unknown,aligned,no,yes,Jill Beckman,"collagen,immune"
aosrd-webinars-003-no_8kTiBj6g,aosrd_webinars_youtube,Build Your Own Personalized Nutritional  Formula from the Ground Up With Michael Lomis – Video,build your own personalized nutritional formula from the ground up with michael lomis -,,no_8kTiBj6g,https://aosrd.org/webinars/,,,,,,,,,no_match,no reasonable otter candidate,,unknown,unknown,no,yes,,
aosrd-webinars-004-tIwwIf1egq0,aosrd_webinars_youtube,Why Vitamin C Therapy Works – Video,why vitamin c therapy works -,,tIwwIf1egq0,https://aosrd.org/webinars/,,,,,,,,,no_match,no reasonable otter candidate,,unknown,unknown,no,yes,,
aosrd-webinars-005--2J8nSF-a-g,aosrd_webinars_youtube,"When Syndromes Overlap-A Complex Case History of Hyperadrogenism, Multiple Autoimmune Maladies, and Evolving Metabolic Signals – Video",when syndromes overlap-a complex case history of hyperadrogenism multiple autoimmune maladies and evolving metabolic signals -,,-2J8nSF-a-g,https://aosrd.org/webinars/,,,,,,,,,no_match,no reasonable otter candidate,,unknown,unknown,no,yes,,
aosrd-webinars-006-GavfM5gafHU,aosrd_webinars_youtube,The Psychology of Success with Dr. Jim Naccarato – Video,the psychology of success with dr jim naccarato -,,GavfM5gafHU,https://aosrd.org/webinars/,,,,,,,,,no_match,no reasonable otter candidate,,unknown,unknown,no,yes,Jim Naccarato,
aosrd-webinars-007-TcgYciqCmbM,aosrd_webinars_youtube,From Chronic Illness to High Fit Patients with Jake Guidas – Video,from chronic illness to high fit patients with jake guidas -,,TcgYciqCmbM,https://aosrd.org/webinars/,,,,,,,,,no_match,no reasonable otter candidate,,unknown,unknown,no,yes,Jake Guidas,
aosrd-webinars-008-w5yTm2FVNFg,aosrd_webinars_youtube,Ancient Healing Traditions for Modern Times – Video,ancient healing traditions for modern times -,,w5yTm2FVNFg,https://aosrd.org/webinars/,https://aosrd.org/wp-content/uploads/2026/06/Ancient-Wisdom-Modern-Healing1.pdf,,,,,,,,no_match,no reasonable otter candidate,,unknown,unknown,no,yes,,
aosrd-webinars-009-2qegURyj8Yg,aosrd_webinars_youtube,Could Carbon 60 Be the Next Frontier in Longevity Medicine with Bob Greska – Video,could carbon 60 be the next frontier in longevity medicine with bob greska -,,2qegURyj8Yg,https://aosrd.org/webinars/,,hxlUjPAXSClySIs4HN1P0CWe_Qk,2026-06-16,Research/lectures/clearfield-webinar-2026-06-16,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — June 16, 2026: Carbon 60 (Bob Greska) & Regenerative Cofactors",True,84,possible,topic/title similarity; insufficient independent evidence,0.338,unknown,aligned,no,yes,Bob Greska,"carbon,greska,next"
aosrd-webinars-010-_slDDht8T8c,aosrd_webinars_youtube,Integrative Medicine Meets Applied Physics w Dr Chris Meletis – Video,integrative medicine meets applied physics w dr chris meletis -,,_slDDht8T8c,https://aosrd.org/webinars/,,SiB7Ifahh4_dfJVERQgP60auXjw,2026-05-19,Research/lectures/clearfield-webinar-2026-05-19,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — May 19, 2026: Quantum Ayurveda & Acoustic-Resonance Bioavailability (Meletis / Varanasi)",True,113,possible,topic/title similarity; insufficient independent evidence,0.309,unknown,aligned,no,yes,Chris Meletis,"chris,meletis"
aosrd-webinars-010-_slDDht8T8c,aosrd_webinars_youtube,Integrative Medicine Meets Applied Physics w Dr Chris Meletis – Video,integrative medicine meets applied physics w dr chris meletis -,,_slDDht8T8c,https://aosrd.org/webinars/,,sLBIeA_Jmb8LAaQrgfDavdK3onA,2025-10-28,Research/lectures/clearfield-webinar-2025-10-28,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — October 28, 2025: Mitochondrial Fatigue, Oxaloacetate & Vaginal Hormones for UTI",True,106,possible,topic/title similarity; insufficient independent evidence,0.254,unknown,aligned,no,yes,Chris Meletis,"chris,meletis"
aosrd-webinars-011-4uO525HIEm0,aosrd_webinars_youtube,AI in Healthcare with Dr. Benoit Tano – Video – 17  June 2026,ai in healthcare with dr benoit tano - - 17 june 2026,2026-06-17,4uO525HIEm0,https://aosrd.org/webinars/,,81vgkJ55QnsvesXbnyxCMQPr6Rc,2026-06-09,Research/lectures/clearfield-webinar-2026-06-09,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — June 9, 2026: Taya Pro Med AI (Benoit Tano)",True,465,possible,topic/title similarity; insufficient independent evidence,0.5,compatible_8d,aligned,no,yes,Benoit Tano,"2026,benoit,tano"
